disasterNumber,declarationDate,incidentType,title,state,lockedInCeilingAmount,mitigationDollarsAvailable,obligatedTotalAmount
4052,2012-02-01T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Alabama,146617.0,7566.0,146221.0
1870,2009-12-31T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Alabama,3097396.0,1576515.0,1672344.0
1731,2007-10-24T00:00:00.000Z,Fire,"WILDFIRES, FLOODING, MUD FLOWS, AND DEBRIS FLOWS",California,42417425.0,13996680.94,39741955.06
1466,2003-05-12T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Alabama,4146632.0,2178710.0,3112794.0
1013,1994-03-03T00:00:00.000Z,Severe Storm,"SEVERE WINTER STORMS, FREEZING, FLOODING",Alabama,1985365.0,385010.0,1672707.0
1185,1997-07-25T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING,HIGH WINDS, ASSOC WITH HURR DANNY",Alabama,1834879.0,372250.0,1523734.0
1322,2000-03-17T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Alabama,356004.0,152642.0,305250.0
1835,2009-04-28T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, TORNADOES & STRAIGHT-LINE",Alabama,3357055.0,2152002.05,1369212.95
1908,2010-05-03T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Alabama,1139895.0,264224.0,931412.0
979,1993-02-03T00:00:00.000Z,Flood,"SEVERE WINTER STORM, MUD & LAND SLIDES, & FLOODING",California,12416818.0,1360571.0,11492224.0
1203,1998-02-09T00:00:00.000Z,Severe Storm,SEVERE WINTER STORMS AND FLOODING,California,39640629.0,4324792.0,36132902.0
1797,2008-09-26T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE IKE,Alabama,2087015.0,283855.0,1905215.0
1836,2009-05-08T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",Alabama,1292960.0,690110.0,666076.0
4460,2019-09-13T00:00:00.000Z,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",Arkansas,726726.0,31690.91,840380.09
1975,2011-05-02T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND ASSOCIATED FLOODING",Arkansas,11341479.0,3038104.77,8857972.23
1400,2002-01-24T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Arkansas,408983.0,420620.0,105414.0
4174,2014-04-29T00:00:00.000Z,Severe Storm,"SEVERE STORMS,TORNADOES, AND FLOODING",Arkansas,1725612.0,12431.94,1797562.06
4226,2015-06-26T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Arkansas,1934422.0,24380.96,2004634.04
1861,2009-12-03T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Arkansas,2245692.0,1138100.0,1217406.0
1872,2010-02-04T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Arkansas,1412465.0,62773.0,1418762.0
1176,1997-04-14T00:00:00.000Z,Flood,"FLOODING, SEVERE STORMS",Arkansas,644986.0,146930.0,525233.0
1155,1997-01-04T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, MUD AND LANDSLIDES",California,19781137.0,2612318.0,17586209.0
4703,2023-04-11T00:00:00.000Z,Severe Storm,SEVERE WINTER STORMS AND FLOODING,Arizona,18146.0,21775.0,0.0
1005,1993-10-28T00:00:00.000Z,Fire,"FIRES, MUD/LANDSLIDES, FLOODING, SOIL EROSION",California,10227728.0,1366128.0,9168962.0
4728,2023-08-15T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Illinois,29125995.0,34951194.0,0.0
4442,2019-06-12T00:00:00.000Z,Flood,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, AND FLOODING",Minnesota,10478625.0,3984482.98,8589867.02
1044,1995-01-10T00:00:00.000Z,Severe Storm,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, MUD FLOWS",California,34739521.0,344398.0,35136508.0
4273,2016-06-25T00:00:00.000Z,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",West Virginia,67122596.0,34928619.59,35476271.41
1362,2001-03-05T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Alabama,697771.0,790867.0,106606.0
4263,2016-03-13T00:00:00.000Z,Flood,SEVERE STORMS AND FLOODING,Louisiana,28992576.0,17979024.19,12431288.81
1842,2009-06-03T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, FLOODING, AND STRAIGHT-LINE WINDS",Alabama,2009776.0,1226256.0,881798.0
