FIPS,State,County,Poverty Rate 1960,Poverty Rate 1970,Poverty Rate 1980,Poverty Rate 1990,Poverty Rate 2000,Poverty Rate 2010,Population 1960,Population 1970,Population 1980,Population 1990,Population 2000,Population 2010,Persons in Poverty 1960,Persons in Poverty 1970,Persons in Poverty 1980,Persons in Poverty 1990,Persons in Poverty 2000,Persons in Poverty 2010
,United States,Total,22.1,13.7,12.4,13.1,12.4,14.9,"175,034,505","198,059,959","220,845,766","241,977,859","273,882,232","301,333,410","38,684,545","27,124,985","27,392,580","31,742,864","33,899,812","44,852,527"
1,Alabama,State Total,42.5,25.4,18.9,18.3,16.1,18.1,"3,235,402","3,368,487","3,813,014","3,945,798","4,334,919","4,662,094","1,373,985","857,248","719,905","723,614","698,097","842,292"
1001,Alabama,Autauga  ,53.1,23.7,16.6,15.7,10.9,11.6,"18,454","24,313","32,107","34,009","43,377","54,255","9,807","5,758","5,337","5,324","4,738","6,267"
1003,Alabama,Baldwin  ,41.8,22.6,16.2,14.3,10.1,13.3,"49,722","58,776","77,726","97,227","138,148","180,970","20,773","13,304","12,616","13,947","14,018","24,002"
1005,Alabama,Barbour ,65.7,43.7,30.8,25.2,26.8,26.1,"24,975","22,424","24,533","24,785","26,239","24,530","16,395","9,788","7,559","6,244","7,032","6,395"
1007,Alabama,Bibb ,56.8,38.2,21.2,21.2,20.6,16.5,"14,775","13,761","15,520","16,304","19,852","21,794","8,386","5,256","3,296","3,454","4,091","3,594"
1009,Alabama,Blount ,45.6,24.2,18,15.3,11.7,14.7,"25,414","26,746","36,244","38,924","50,499","56,993","11,595","6,462","6,527","5,938","5,930","8,396"
1011,Alabama,Bullock ,72.2,54.9,35.4,36.5,33.5,22.2,"13,402","11,817","10,565","10,340","10,169","10,313","9,680","6,492","3,745","3,776","3,405","2,286"
1013,Alabama,Butler ,63.3,40.8,27.2,31.5,24.6,25.7,"24,545","21,903","21,423","21,648","21,143","20,463","15,530","8,934","5,818","6,815","5,205","5,256"
1015,Alabama,Calhoun ,34.1,20.9,16.3,15.7,16.1,21.4,"92,644","97,822","111,618","110,981","109,830","114,887","31,601","20,395","18,231","17,385","17,695","24,597"
1017,Alabama,Chambers ,42.9,25.5,17.8,18.8,17,23.3,"38,750","36,096","38,869","36,424","36,006","33,785","16,604","9,214","6,931","6,849","6,134","7,863"
1019,Alabama,Cherokee ,47.2,24,18.6,17.6,15.6,19.5,"16,875","15,536","18,668","19,464","23,601","25,440","7,966","3,731","3,474","3,424","3,672","4,956"
1021,Alabama,Chilton ,52.2,28.8,19.8,17.1,15.7,18.6,"26,043","25,113","30,387","32,113","39,179","43,197","13,602","7,227","6,031","5,495","6,152","8,020"
1023,Alabama,Choctaw ,62.1,42.1,31.5,30.2,24.5,20.2,"18,073","16,515","16,793","15,929","15,738","13,668","11,225","6,958","5,285","4,809","3,858","2,758"
1025,Alabama,Clarke ,58.9,36.6,26.4,25.9,22.6,26.4,"26,327","26,589","27,338","26,896","27,479","25,537","15,514","9,717","7,210","6,960","6,207","6,737"
1027,Alabama,Clay ,50,31.2,21,17.4,17.1,19.8,"12,728","12,519","13,675","13,025","13,981","13,513","6,366","3,906","2,874","2,272","2,392","2,680"
1029,Alabama,Cleburne ,52.2,23.3,16.7,15.3,13.9,18,"10,956","10,871","12,550","12,653","14,004","14,740","5,719","2,531","2,093","1,936","1,953","2,650"
1031,Alabama,Coffee ,50.7,22.8,16.3,15.5,14.7,17.1,"30,187","34,657","38,262","39,780","42,767","49,208","15,300","7,916","6,246","6,180","6,285","8,438"
1033,Alabama,Colbert ,35.4,22.4,14.5,14.6,14,16.2,"46,794","49,352","54,165","51,345","54,384","53,890","16,559","11,076","7,869","7,477","7,592","8,735"
1035,Alabama,Conecuh ,63.7,45,29.4,29.7,26.6,30.4,"18,081","15,545","15,782","13,939","13,987","13,119","11,515","7,000","4,642","4,145","3,719","3,982"
1037,Alabama,Coosa ,52,31.8,24.7,18.2,14.9,20.2,"11,356","10,596","11,277","10,902","11,788","11,006","5,904","3,364","2,783","1,984","1,760","2,223"
1039,Alabama,Covington ,46.3,29.1,19.9,22,18.4,20.9,"36,429","33,839","36,502","36,162","37,063","37,253","16,870","9,849","7,271","7,971","6,838","7,780"
1041,Alabama,Crenshaw ,65.2,45.4,29.8,24.3,22.1,18.4,"15,119","13,101","13,952","13,479","13,408","13,796","9,855","5,953","4,160","3,279","2,964","2,544"
1043,Alabama,Cullman ,48.1,23.2,17.5,15.3,13,18.6,"45,292","51,493","61,132","66,728","76,428","79,211","21,777","11,957","10,684","10,214","9,935","14,723"
1045,Alabama,Dale ,40.8,16.9,16.5,14.8,15.1,16,"29,412","45,330","44,062","47,128","47,305","48,486","11,997","7,677","7,265","6,971","7,140","7,748"
1047,Alabama,Dallas ,58.5,40.2,32.3,36.2,31.1,36.5,"55,620","53,829","53,155","47,176","45,864","43,161","32,553","21,656","17,165","17,099","14,243","15,733"
1049,Alabama,DeKalb ,49.7,30.9,19.5,17.4,15.4,19.5,"42,071","41,764","53,316","54,070","63,615","70,192","20,919","12,898","10,373","9,382","9,791","13,701"
1051,Alabama,Elmore ,48.1,28,18.2,14.5,10.2,13,"29,157","32,393","41,627","45,813","60,397","73,602","14,014","9,078","7,567","6,643","6,187","9,539"
1053,Alabama,Escambia ,47.3,30.9,21,28.1,20.9,24.9,"33,095","32,901","36,831","34,148","36,316","35,527","15,636","10,176","7,741","9,584","7,579","8,849"
1055,Alabama,Etowah ,35.9,20.5,16.1,16.5,15.7,18.8,"97,858","93,614","101,864","98,492","101,529","102,425","35,088","19,179","16,448","16,242","15,938","19,212"
1057,Alabama,Fayette ,52.5,28.3,18.1,20.3,17.3,19.1,"16,053","16,252","18,684","17,790","18,148","16,916","8,430","4,595","3,387","3,615","3,144","3,232"
1059,Alabama,Franklin ,50.1,25.9,17.1,20.7,18.9,19.8,"22,142","23,797","28,062","27,471","30,786","31,247","11,083","6,161","4,802","5,691","5,814","6,188"
1061,Alabama,Geneva ,54,29.5,20.8,19.5,19.6,20,"22,813","21,834","24,123","23,510","25,537","26,361","12,310","6,438","5,029","4,583","5,010","5,266"
1063,Alabama,Greene ,78.2,65.5,45.7,45.6,34.3,32.9,"13,747","10,615","10,921","10,039","9,893","9,026","10,743","6,949","4,988","4,575","3,391","2,968"
1065,Alabama,Hale ,72.3,54.9,39.5,35.6,26.9,27.7,"19,918","15,747","15,366","15,223","16,855","15,448","14,399","8,651","6,073","5,420","4,531","4,277"
1067,Alabama,Henry ,64.8,39,22.7,17.4,19.1,16,"15,674","13,237","15,259","15,189","16,108","17,039","10,153","5,165","3,467","2,636","3,070","2,727"
1069,Alabama,Houston ,46.1,24.7,16.9,16.5,15,17.7,"50,411","56,128","74,201","80,358","87,646","100,167","23,235","13,836","12,538","13,275","13,146","17,723"
1071,Alabama,Jackson ,52.1,24.4,15.7,16.6,13.7,16.2,"37,307","39,127","51,132","47,552","53,333","52,693","19,437","9,530","8,052","7,901","7,293","8,533"
1073,Alabama,Jefferson ,30.9,18.8,15.3,16,14.8,17,"629,388","638,855","662,694","639,105","647,628","645,062","194,321","119,976","101,520","102,276","95,674","109,935"
1075,Alabama,Lamar ,47.1,38.8,18.2,18,16.1,20.1,"14,439","14,261","16,249","15,536","15,664","14,361","6,801","5,529","2,964","2,798","2,521","2,883"
1077,Alabama,Lauderdale ,35.3,21.3,14.8,14.9,14.4,17.9,"60,895","66,954","78,841","78,004","86,249","90,550","21,496","14,260","11,633","11,606","12,442","16,248"
1079,Alabama,Lawrence ,57.1,30.9,23.6,19.8,15.3,16.1,"24,763","27,128","29,999","31,280","34,561","33,898","14,140","8,392","7,066","6,201","5,271","5,467"
1081,Alabama,Lee ,42.6,23.4,23.6,24.9,21.8,21.1,"45,771","55,708","71,404","82,589","110,577","135,639","19,512","13,026","16,837","20,534","24,119","28,564"
1083,Alabama,Limestone ,49.1,26.6,17,14,12.3,13.3,"37,387","40,942","45,514","52,382","62,943","79,243","18,345","10,906","7,719","7,325","7,771","10,562"
1085,Alabama,Lowndes ,77.8,61.8,45,38.6,31.4,23.6,"15,679","12,813","13,215","12,594","13,416","11,217","12,200","7,918","5,946","4,858","4,209","2,643"
1087,Alabama,Macon ,61,46.5,33,34.5,32.8,28.1,"23,859","22,121","24,133","22,650","21,738","18,953","14,555","10,288","7,959","7,812","7,139","5,331"
1089,Alabama,Madison ,29.5,14.1,13.8,10.9,10.5,12.4,"115,568","182,038","191,597","232,971","269,395","327,119","34,033","25,633","26,502","25,289","28,408","40,598"
1091,Alabama,Marengo ,63.6,46.4,33.4,30,25.9,22.8,"27,951","23,659","24,847","22,829","22,411","20,600","17,782","10,982","8,295","6,851","5,805","4,687"
